Participants,"How mentally demanding was the task (1-7, very low to very high)?","How hard did you have to work to accomplish your level of performance? (1-7, very low to very high)","How annoyed or irritated were you? (1-7, very low to very high)","How successful were you in accomplishing what you were asked to do? ( 1-7, very poor to perfect)","How were the suggestions provided by the AI? ( 1-7, very poor to perfect)","(Only for System A) [The dashboard made sensible decisions about which views to shrink or enlarge or add] (1 to 7, strongly disagree to strongly agree)","(Only for System A) [I understood why the dashboard changed the layout during my work] (1 to 7, strongly disagree to strongly agree)","(Only for System A) [I felt in control of the dashboard even when it was rearranging itself] (1 to 7, strongly disagree to strongly agree)","(Only for System A) [I would feel comfortable overriding the dashboard's automatic behaviour] (1 to 7, strongly disagree to strongly agree)","(Only for System A) [The dashboard automated the right amount — it didn't do too much or too little] (1 to 7, strongly disagree to strongly agree)","(Only for System A) [The automatic shrinking of views felt appropriate for my workflow] (1 to 7, strongly disagree to strongly agree)","(Only for System A) [The visual changes (shrinking, colour shifts) clearly communicated which views were active] (1 to 7, strongly disagree to strongly agree)","(Only for System A) [The way views changed appearance helped me understand the state of the dashboard at a glance] (1 to 7, strongly disagree to strongly agree)","Overall, how satisfied are you with the dashboard?] (1- 7, Strongly dissatisfied to strongly satisfied)","(Only for System A) [The dashboard's behaviour of hiding/shrinking inactive views helped me focus on my work.] (1 to 7, strongly disagree to strongly agree)","(Only for System A) [Compared to a static dashboard (where all views are always visible), the living dashboard is:] (much worse to much better, -2 to 2)","I felt very confident using the system. (1-5, Strongly disagree to strongly agree)","I think that I would like to use this system frequently.  (1-5, Strongly disagree to strongly agree)","I would imagine that most people would learn to use this system very quickly.  (1-5, Strongly disagree to strongly agree)","I thought the system was easy to use.  (1-5,  Strongly disagree to strongly agree)","I found the various functions, such as AI, in this system were well integrated. (1-5, Strongly disagree to strongly agree)","I found the system unnecessarily complex. (1-5,  strongly agree to strongly disagree)","I think that I would need the support of a technical person to be able to use this system. (1-5,  strongly agree to strongly disagree)","I thought there was too much inconsistency in this system. (1-5,  strongly agree to strongly disagree)","I found the system very cumbersome to use. (1-5,  strongly agree to strongly disagree)","I needed to learn a lot of things before I could get going with this system. (1-5,  strongly agree to strongly disagree)",What did you find most useful or helpful about the dashboard?,"Was there anything confusing, frustrating, or missing? Please describe.",Do you have any other comments or suggestions about the living dashboard concept? (Only for System A)
P4,5,4,5,4,6,,,,,,,,,5,,,4,4,5,4,5,4,5,5,4,4,It was easy to use because the AI provided helpful and clear guidance.,"Some items were difficult to find. I had trouble locating the subcategory, and it was also hard to identify the first campaign.","The AI’s responses were sometimes vague. For example, when it suggested that additional categorization was needed, it would have been better if it had provided more detailed guidance."
P5,5,5,6,2,2,,,,,,,,,3,,,2,2,2,2,3,1,2,3,2,2,Adding new views was the most useful feature. I liked that I could easily create new charts whenever needed.,"There were many features such as filters, views, and detailed views, but the lack of guidance for each function made them difficult to use.",
P6,6,6,6,5,2,,,,,,,,,3,,,2,2,2,3,2,4,4,3,2,3,"Because the dashboard template was predefined, it was convenient for quickly creating simple tables.","It would be helpful if I could search when selecting multiple categories while creating a table. Also, when setting attributes—especially for dates—there are too many options, which makes it difficult to choose later time ranges. It would be better if I could specify dates using a search function or a slider/bar.",
P7,4,4,4,3,1,,,,,,,,,5,,,2,2,3,3,2,4,1,2,3,1,"I hope it can introduce something about what is the dataset like, so that I can know what visualization I can create. And if AI can understand dataset better, it will be better","I can not create a visualization while using it, so I can not find out some question's solution",
P8,6,4,4,3,2,,,,,,,,,5,,,2,3,3,2,2,2,3,4,3,3,"The colors and texts helped a lot. It's in general fairly easy to jump onboard and start seeking info to answer the questions. But the AI feature didn't help so much, although it still prompted me to some details that I've missed.","I didn't know I needed to click the countries on the map to see further details. Also, ""add a view"" feels quite difficult to use. I would need more time to get familiar with it.",I did system B
P9,4,4,3,4,4,,,,,,,,,5,,,4,4,4,4,4,4,5,4,4,5,I can cross-check with an AI assistant if my initial intuition about where to find the data is correct (though it might result in false confidence),"It felt like there were a few artificial limitations, which make sense in a way to reduce hallucinations, but caused me more work (e.g., typing out the categories by hand instead of having the AI type it out for me and me double-checking)",
P1,3,3,5,3,2,5,6,6,7,5,3,6,5,5,2,1,2,4,4,4,4,5,5,3,5,4,Creating plots with pre-structured format with AI was helpful.,"Before starting analysis, It would be better if there are some more intuitive information about data structure (e.g. components, properties). Also, it was unclear what the plot would look like when selecting components for each plot type.",Some kind of preview when selecting components of the plot would be nice. And maybe explanation of data overview could be helpful too.
P2,3,4,2,5,4,6,6,6,6,6,6,6,6,6,7,2,5,4,5,4,5,4,4,5,5,4,"The most convenient features were that a point gets selected when I click, and the date changes when I drag.","It felt inconvenient when I tried to directly manipulate the table. For example, after creating a table with fields like “type” and “region,” it would be more convenient if I could easily add additional conditions or filters.","As I mentioned in the usability issues, it would be helpful if I could easily add, remove, and select additional options when working with tables. (Though it’s possible that this feature already exists and I just didn’t use it properly.)"
P3,2,4,1,4,6,6,6,7,3,7,2,7,6,6,6,2,4,5,4,4,5,4,5,4,5,4,AI is very helpful.,"After clicking the bar on the bar graph for more information, I couldn't find the button to go back.",
P10,4,4,3,5,5,5,6,5,7,6,6,7,6,5,6,1,4,4,2,3,4,3,2,3,3,2,The AI integration and highlighting feature,There were a blot a visualizations. It takes time to get used to a dashboard,No
P11,3,3,3,5,5,5,7,6,6,7,3,7,5,5,3,-1,5,3,4,5,5,2,5,5,3,4,"The best thing about the dashboard was the AI chat's knowledge of the context without the underlying data - such a nice thing to have in what could otherwise be a privacy nightmare. It held my hand just right, instead of spoon-feeding me.. If I were to put it metaphorically, it felt akin to riding an e-bike with pedal assist. I particularly loved that I had full control if I wanted to create my own dashboard or ask AI to do so, even though the AI was so good that I didn't feel the need to tweak anything beyond what's most basic.","The most frustrating aspect for me was not the AI, but the dashboard itself. The dimming feature was helpful when the AI guided my attention because it felt purposeful and intuitive, making it easier to follow along. However, having the interface dimmed by default became cumbersome, especially when I needed to perform cross-dashboard comparisons. Over time, this became genuinely irritating. To be honest, it felt like AI was the truly standout feature and the dashboard felt like an accessory to it.. and I don't know if that is good or not.","To clarify, the system was not difficult to use, but I would have preferred more direct control. Features such as the ability to reorder tiles or manually zoom into a dashboard at full scale would have significantly improved the experience. I particularly felt the absence of these controls during comparison tasks, as I had to repeatedly scroll between tiles, which disrupted my workflow."
P12,6,5,4,5,4,5,7,7,6,4,6,6,6,6,7,1,4,4,3,4,5,4,5,5,4,5,"- Zooming into specific visualizations was helpful to focus
 - AI Features were helpful to quickly spawn specific visualizations for my query","- I would have liked to drag and dropped certain charts
 - I would have liked to always see the active filters once I scroll up and down","Advanced features, such as grouping data, would be helpful for certain tasks."